Title,Description,Subject,Department 1,Department 2,Department 3,Departments,Course Number,Academic Level,Prerequisites,Locations,Course Types ,Course Name,Course ID,Last Updated ,Item Type,Path
Nature of Mathematics,"This is an introductory course of that examines various mathematical concepts and problem solving techniques and provides mathematical functional literacy for those majoring in non-technical subject areas such as intelligence, military history, economics, and management. Students will learn how to solve a wide variety of problems from such areas as: introduction to algebraic equations and problem solving; functions and graphs; geometry; mathematical systems; personal finance; and probability and statistics. This is principally a problem-solving course where students learn how to solve a wide variety of mathematical problems, rather than a conceptual course where problem solving is not emphasized.   * ***THIS COURSE SATISFIES THE MATHEMATICS GENERAL EDUCATION REQUIREMENT TOWARDS GRADUATION****",Mathematics,Mathematics,,,Mathematics,102,Undergraduate,,Main Campus; Distance Learning-On Line,Math GE Elective; Liberal Arts Electvie,MATH-102,4454,2/26/2021 6:15,Item,Lists/Courses
CPCE Exam,"Course Description: This course will allow students to register for the CPCE, which they are required to pass as part of their degree plan. They currently petition to take  the test and the department records if they pass. This is a more official way of recording test taking and passing",Counseling,Counseling,,,Counseling,593,Graduate,,Main Campus,,COUN-593,4471,2/26/2021 6:15,Item,Lists/Courses
Survey Trad East Asian Cult & Politics,"COURSE DESCRIPTION: This course focuses on developing a broad understanding of  the traditional cultures of China, Japan, Korea, and Vietnam and how their cultural development influenced their politics in the past and how it informs their political systems now. The inter-dynamics of the traditional cultures, the interweave of culture and politics, as well as the complexities of these elements in modern development will all be addressed. ",World Religions,World Religions,,,World Religions,218X,Undergraduate,,Main Campus; Hybrid,Liberal Arts Electvie,WREL-218X,4474,2/26/2021 6:15,Item,Lists/Courses
Global Public Health,"Course Description: This course provides an overview of global public health policy with the primary focus to engage and inspire students about the opportunities and challenges of global health. This course is divided into four sections: 1. Principles, measurement, goals, and development of global health. 2. Cross-cutting themes in global health 3. The burden and distribution of disease and mortality 4. Global health governance and cooperation.",Intl Pol Econ & Diplomacy,Intl Political Econ & Diplomac,,,Intl Political Econ & Diplomac,210,Undergraduate,,Main Campus; Distance Learning-On Line,Social Science Elective; Liberal Arts Electvie,IPED-210,4475,2/26/2021 6:15,Item,Lists/Courses
Global Public Health,"Course Description: This course provides an overview of global public health policy with the primary focus to engage and inspire students about the opportunities and challenges of global health. This course is divided into four sections: 1. Principles, measurement, goals, and development of global health. 2. Cross-cutting themes in global health 3. The burden and distribution of disease and mortality 4. Global health governance and cooperation.",Health Science,Health Sciences,,,Health Sciences,210,Undergraduate,,Main Campus; Hybrid,Social Science Elective; Liberal Arts Electvie,HSCI-210,4476,2/26/2021 6:15,Item,Lists/Courses
Mathematical Models in Psychology,Course Description: This one credit laboratory course provides students with an introduction to mathematical models used in psychology. ,Mathematics,Mathematics,,,Mathematics,103P,Undergraduate,,Main Campus; Distance Learning-On Line,Liberal Arts Electvie; Math GE Elective,MATH-103P,4477,2/26/2021 6:15,Item,Lists/Courses
Big Data & Data Science for Tech Mgmt,"This course introduces the concepts of big data, data science, and data analysis. These concepts are applied to applications and services. Because large amounts of data can best be understood in graphic or pictorial format, data visualization is also introduced. Since data science inherently involves statistical analysis a few basic constructs such as cluster and regression analyses will be part of this course. These statistical concepts will be strengthened with exercises using R. R is an open source programming language and software environment for statistical computing and graphics analysis. An R package, Shiny, is applied for interactive web applications. Python is also introduced for comparison with R. Case studies will focus on information and communications technologies for sustainable development.  (ICT4SD)",Technology Management,Technology Management,,,Technology Management,575,Graduate,,Main Campus; Distance Learning-On Line,,TCMG-575,4492,2/26/2021 6:15,Item,Lists/Courses
Adv Arab Reading,,Arabic Language,Arabic Language,,,Arabic Language,109,Undergraduate,,Main Campus,,ARABC-109,4495,2/26/2021 6:15,Item,Lists/Courses
Peer Mentoring,"Course Description: This is a unique class designed to provide a forum for the evaluation, reflection, and processing of your experiences as a peer leader: Discussion will revolve around such topics as fostering student learning, classroom management techniques, wiping skills, effective communication, and other related topics. It might be useful for you to consider the approximately 40 contact hours in your class as a lab or practicum, with the class meetings of this peer leader class as a discussion/lecture class.",Human Services,Human Services,,,Human Services,228,Undergraduate,,Main Campus; Distance Learning-On Line,,HUSV-228,4496,2/26/2021 6:15,Item,Lists/Courses
First Year Experience,"This course is designed to assist in the  transition to college through the development of  relationships with others in the class including  the instructor and peer advisor, the  establishment of a knowledge base of campus  resources, involvement in campus, and the  acquisition of basic academic skills for success.  Does not fulfill FYS requirement.",First Year Experience,First Year Seminar,,,First Year Seminar,105,Undergraduate,,Main Campus,First Year Experience,FYE-105,4499,2/26/2021 6:15,Item,Lists/Courses
Mgmt Hazardous Wst Oper&emergencresponse,"   This course is the third in the Enviornment and Energy Management concentration in Technology Management. This course is designed to assess and manage the hazards associated with uncontrolled hazardous waste sites to determine whether work can be conducted in a safe amnner. This includes hazardous substance removal, cleanup or other activities which pose or potentially expose workers to hazardous substances and health hazards.      Topics include chemical hazards, hazard assessment, hot zones, emergency response operations, personal protective equipment, decontamination procedures, overview of the HAZWOPER standard and its applicability, spill containment methods, basic toxicological terminology and effects, emergency plan implementation, incident commanf system, advanced control, containment and confinement. 3 credit hours ",Technology Management,Technology Management,,,Technology Management,562X,Graduate,,Main Campus,,TCMG-562X,3187,2/26/2021 6:15,Item,Lists/Courses
Pathophysiologic Basis,"A study of the underlying mechanisms of disease and the complex interrelationships between critical systems including respiratory, urinary, cardiovascular, digestive, nervous and endocrine. Lectures will include fluid and electrolyte imbalances, acid and base imbalances, inflammation, hypersensitivity, infection, necrosis, and neoplasm?s. The influence of various nutrients on systemic function will be stressed. Prerequisite: Anatomy & Physiology I, II. 4 semester hours",Nutrition,Human Nutrition,,,Human Nutrition,560A,Graduate,"TAKE NUTR-560N, NUTR-560U, NUTR-560V; previously; grade of B or higher;",Main Campus; Distance Learning-On Line,,NUTR-560A,737,2/26/2021 6:15,Item,Lists/Courses
Lean Manufacturing,"    This course teaches the core methods and philosophy of lean manufacturing. Lean Manufacturing is historically based on the Topoto Production System used to sifnificantly reduce the time, increase the reliability and reduce the cost, space requirements and inventory of a manufacturing enviournment.      Each week a different aspect of the Lean Manufacturing will be taught. Each week, homework will focus on the implementation of these cncepts into the term project designs.",Technology Management,Technology Management,,,Technology Management,577,Graduate,,Main Campus,,TCMG-577,3188,2/26/2021 6:15,Item,Lists/Courses
Therapeutic Exercise/Sports Medicine,This course provides an overview of exercise as a preventative and therapeutic tool. Students will learn to perform a fitness assessment and describe and monitor exercise programs for persons with a variety of common disease conditions as well as treatments for sports injuries. Prerequisite: NPM 721. 2 lecture hours; 2 semester credits,Physical Medicine,Physical Medicine,,,Physical Medicine,821,Naturopathic Medicine,Take NPM-721,Main Campus,,NPM-821,738,2/26/2021 6:15,Item,Lists/Courses
Elec GR Electv,,Electrical Engineering,Electrical Engineering,,,Electrical Engineering,ELECT,Graduate,,,Pseaudo,ELEG-ELECT,4197,2/26/2021 6:15,Item,Lists/Courses
Lean Manufacturing,"    This course teaches the core methods and philosophy of lean manufacturing. Lean Manufacturing is historically based on the Topoto Production System used to sifnificantly reduce the time, increase the reliability and reduce the cost, space requirements and inventory of a manufacturing enviournment.      Each week a different aspect of the Lean Manufacturing will be taught. Each week, homework will focus on the implementation of these cncepts into the term project designs. 3 credit hours",Mechanical Engineering,Mechanical Engineering,,,Mechanical Engineering,577,Graduate,,Main Campus,,MEEG-577,3189,2/26/2021 6:15,Item,Lists/Courses
Graphic Design Elect,,Graphic Design,Art & Design,,,Art & Design,ELECTV,Undergraduate,,,Pseaudo,GDSN-ELECTV,4198,2/26/2021 6:15,Item,Lists/Courses
Geriatrics,"This course covers the aging process and the new field of anti-aging medicine. Conventional geriatrics topics are discussed as well as topics on geriatric illnesses and their naturopathic interventions. Prerequisites: NCS 621, NCS 622, NCS 623L 0.5 lecture hour; 0.5 semester credit Changed 10/16/19",Practice Organ Systems,Practice & Organ Systems,,,Practice & Organ Systems,821,Naturopathic Medicine,"   take ncs-621,NCS-622 and NCS-623L",Main Campus,,NNP-821,739,2/26/2021 6:15,Item,Lists/Courses
Found of Environ & Energy Mgmt,"This course covers the assessment of current and potential environmental and energy management issues, opportunities and treats. Key issues such as global warming, pollution, global energy supply and demand needs will be discussed. Alternative energy sources are reviewed, including examination of energy technologies, in each fuel cycle stage for fossil (oil, gas, synthetic ), solar , biomass, wind, hydro, nuclear, and geothermal energy types, along with storage, transmission to graduate studies. 3 lecture hours, 3 semester hours ",Technology Management,Technology Management,,,Technology Management,560,Graduate,,Main Campus,,TCMG-560,1171,2/26/2021 6:15,Item,Lists/Courses
Adv Robotics,"Advanced robotics and automation topics and techniques, including: active robotic sensing, intelligent and integrated manufacturing systems, robotic inspection, observation under uncertainty, multisensor feedback control of manipulators and mobile robots, advanced simulation and monitoring of robotic systems, high level modeling and control, and other topics. Prerequisites: Computer Science 460, Computer Engineering 460 or permission of instructor. 3 lecture hours; 3 semester hours",Computer Engineering,Computer Engineering,,,Computer Engineering,570,Graduate,TAKE CPSC-460 OR CPEG-460,,,CPEG-570,2181,2/26/2021 6:15,Item,Lists/Courses
Interior Design Elect,,Interior Design,Interior Design,,,Interior Design,ELECTV,Undergraduate,,,Pseaudo,ITDSN-ELECTV,4199,2/26/2021 6:15,Item,Lists/Courses
Oncology,"This course covers the diagnostic, prognostic and preventative and epidemiological information for common cancers. Various theories of cancer are discussed as well as both traditional and non-traditional treatments. Case studies are used to help cement the concepts covered in relation to various malignancies. At the conclusion of this course students will be prepared to screen for common cancers and co-manage patients with cancer. Prerequisites: NCS 621, NCS 622, NCS 623L. 1.5 lecture hours; 1.5 semester credits",Practice Organ Systems,Practice & Organ Systems,,,Practice & Organ Systems,823,Naturopathic Medicine,Take NCS-621 NCS-622 NCS 623L,Main Campus,,NNP-823,741,2/26/2021 6:15,Item,Lists/Courses
Adv VLSI Design,"Implementation of custom VLSI designs, digital and analog simulation, fault tolerant design, design for testability. A major project will include the implementation of a digital integrated circuit. Prerequisites: Computer Engineering 448D. 3 lecture hours; 3 semester hours",Computer Engineering,Computer Engineering,,,Computer Engineering,550,Graduate,Take CPEG-448D,,,CPEG-550,2182,2/26/2021 6:15,Item,Lists/Courses
Ergonomics,"This course introduces the student to the concepts of ergonomics. Ergonomics is the study of fitting the workplace and devices to the capabilities of the human worker. Students will have an understanding of the beginning and evolution of the field of ergonomics.They will learn to recognize risk factors associated with repetitive stress disorders(e.g., carpal tunnel syndrome) and potential sprain/strain injuries as well as be familiar with the body areas affected. This course covers principles of physiology and biomechanics and how they apply to workstation and tool design. 3 semester credits",Mechanical Engineering,Mechanical Engineering,,,Mechanical Engineering,440X,Graduate,,,,MEEG-440X,1173,2/26/2021 6:15,Item,Lists/Courses
Industrial Dsgn Electv,,Industrial Design,Industrial Design,,,Industrial Design,ELECTV,Undergraduate,,,Pseaudo,IDDSN-ELECTV,4200,2/26/2021 6:15,Item,Lists/Courses
Adv. Materials in Engineering,,Mechanical Engineering,Mechanical Engineering,,,Mechanical Engineering,560,Graduate,,Main Campus; Distance Learning-On Line,,MEEG-560,3191,2/26/2021 6:15,Item,Lists/Courses
Communication and National Development,"The focus of this course is on communication and national development and nation-building. Students will learn how media, communication, and information can be used to improve economic, political, and cultural conditions of people around the world.  In particular, the course will look into the functions nedia communication and social marketing demonstrate in reducing poverty, combating hunger, improving literacy, promoting public health care, fighting corruption, and protecting the environment among others.",Global Development & Peace,Global Development and Peace,,,Global Development and Peace,539,Graduate,,Main Campus; Distance Learning-On Line,,GLDP-539,3192,2/26/2021 6:15,Item,Lists/Courses
Performance Evaluation and Analysis,"This course covers the basic theory and practice of computer systems performance evaluation. The course focuses on three major aspects of performance analysis, measurement, simulation and analytical modeling using queuing theory. The topics will include measurement techniques, monitor tools, simulation models, stochastic processes, queuing theory and analytical modeling techniques. Prerequisite: Background in computer architecture and probability and consent of the instructor. 3 lecture hours, 3 semester hours",Computer Engineering,Computer Engineering,,,Computer Engineering,560,Graduate,TAKE CPEG-312 CPEG-510 AND MATH-323,,,CPEG-560,2183,2/26/2021 6:15,Item,Lists/Courses
Criminal Justice Electv,,Criminal Justice,Criminal Justice Hum Security,,,Criminal Justice Hum Security,ELECTV,Undergraduate,,,Pseaudo,CJHS-ELECTV,4201,2/26/2021 6:15,Item,Lists/Courses
Dermatology,"The diagnosis and treatment of diseases which manifest in skin lesions are discussed. Naturopathic treatment and prevention are taught. Prerequisites: NCS 621, NCS 622, NCS 623L. 1.5 lecture hours; 1.5 semester credits",Practice Organ Systems,Practice & Organ Systems,,,Practice & Organ Systems,824,Naturopathic Medicine,"   take NCS-621,NCS-622 and NCS-623L",Main Campus,,NNP-824,742,2/26/2021 6:15,Item,Lists/Courses
Magazine & Feature Writing,An in-depth experience of writing for periodicals. Focus is on the additional research and preparation needed for this medium. Principles of advocacy and rhetoric and their relevance in the news media are explored. Instructor?s permission may be required for this course. 3 semester hours ,Mass Communications,Mass Communication,,,Mass Communication,341,Undergraduate,    TAKE MCOM-235 or MCOM-240;,Main Campus,,MCOM-341,1175,2/26/2021 6:15,Item,Lists/Courses
Human Service Electv,,Human Services,Human Services,,,Human Services,ELECTV,Undergraduate,,,Pseaudo,HUSV-ELECTV,4202,2/26/2021 6:15,Item,Lists/Courses
Therap Ex/Sports Medicine,"The diagnosis and treatment of disorders involving the skeletal system which can be safely treated in a general practice office setting are discussed. Students practice taping, splinting and casting techniques. Prerequisite: pm721",Physical Medicine,Physical Medicine,,,Physical Medicine,822,Naturopathic Medicine,   take npm-721,Main Campus,,NPM-822,743,2/26/2021 6:15,Item,Lists/Courses
Computer Vision,"A project-oriented course designed to familiarize the student with the computer image display, processing, and various limitations. The processing includes edge detection, Hough transform, thinning algorithms, moment invariant methods, relaxation algorithms, among others. Prerequisite: Computer Science 400, Computer Engineering 312, Electrical Engineering 443. 3 lecture hours; 3 semester hours",Computer Engineering,Computer Engineering,,,Computer Engineering,585,Graduate,Take CPSC-400 CPEG-312 ELEG-443.,,,CPEG-585,2184,2/26/2021 6:15,Item,Lists/Courses
Advanced International Journalism,This course focuses on how international news is covered and how to cover international news.  It also examines the issue of news media and foreign relations.,Global Development & Peace,Global Development and Peace,,,Global Development and Peace,550,Graduate,,Main Campus; Distance Learning-On Line,,GLDP-550,3193,2/26/2021 6:15,Item,Lists/Courses
Biochemistry of Nutrition,"A lecture course covering the static and dynamic aspects of the biochemistry of carbohydrates, lipids, amino acids, proteins, nucleic acids, cat ions, anions, enzyme kinetics, hormones and vitamins in the healthy individual. Integration and control mechanisms of the various metabolic pathways are particularly emphasized. Prerequisite: Introduction to Biochemistry. 4 semester hours",Nutrition,Human Nutrition,,,Human Nutrition,560B,Graduate,Take NUTR-560A NUTR-560M,Main Campus; Distance Learning-On Line,,NUTR-560B,744,2/26/2021 6:15,Item,Lists/Courses
Media Management & Economics,"This class covers the foundational concepts and approaches of media management and economics. Students learn how to use these constructs to analyze media industries and markets, and the corresponding practices of media organizations, to make successful managerial and administrative decisions. Students develop an understanding of how media management and economics have been influenced by various factors, such as regulation, globalization, technology, and culture. The course discusses contemporary trends in media management and economics, especially the emerging business models of social media companies and search engine giants.  3 semester hours",Mass Communications,Mass Communication,,,Mass Communication,346,Undergraduate,,Main Campus,,MCOM-346,1176,2/26/2021 6:15,Item,Lists/Courses
Summer Language-Culture Program,,English Lang Institute,English Language Institute,,,English Language Institute,010,English Language,,Main Campus,,ELI-010,3194,2/26/2021 6:15,Item,Lists/Courses
Marketing Electv,,Marketing,Marketing,,,Marketing,ELECTV,Undergraduate,,,Pseaudo,MKTG-ELECTV,4203,2/26/2021 6:15,Item,Lists/Courses
MEMS Micro-Elect-Mech Systems,"Basic micro fabrication techniques, MEMS materials and their properties, MEMS device design and simulation, MEMS packaging and assembly, signal testing and MEMS reliability analysis. MEMS industrial applications in various areas will also be discussed. Students used ANSYS FEM software to design and simulate their behavior.",Computer Engineering,Computer Engineering,,,Computer Engineering,446,Graduate,,,,CPEG-446,2185,2/26/2021 6:15,Item,Lists/Courses
Business Admin Electv,,Business Administration,Management & Indust Relations,,,Management & Indust Relations,ELECTV,Undergraduate,,,Pseaudo,BUAD-ELECTV,4204,2/26/2021 6:15,Item,Lists/Courses
Analog VLSI,"Modeling, design and analysis of analog VLSI circuits. CMOS processing and layout, current mirrors, Opamp, comparators, S/H voltage references, switched-capacitor circuits, data converters, filters and PLLs. Students design analog VLSI layouts , extract the netlists and simulate the circuit behavior. Transistors sizing will also be discussed. EDA tools PSPICE Mentors Graphics are used.",Computer Engineering,Computer Engineering,,,Computer Engineering,458,Graduate,,,,CPEG-458,2186,2/26/2021 6:15,Item,Lists/Courses
Jurisprudence,"The course covers the basics of law as it applies to medical practice, informed consent, confidentiality, and professional liability. Naturopathic practice in licensed and unlicensed states will be discussed, as well as an in depth review of the practice act in Connecticut.   Prerequisites: NCS-621, NCS-622, NCS-623.  0.5 lecture hour; 0.5 semester credit",Principles and Practices,Principles and Practices,,,Principles and Practices,821,Naturopathic Medicine,"    TAKE NCS-621, NCS-622 and NCS-623;",Main Campus,,NPP-821,745,2/26/2021 6:15,Item,Lists/Courses
Jazz Ensemble,Development of musical skills related to functioning within an ensemble.  An exploration of rehearsal techniques and group dynamics leading to performance of repertoire for chamber ensembles.  Prerequisite: Permission of Instructor,Music,Music,,,Music,107R,Undergraduate,,Main Campus,,MUSC-107R,1177,2/26/2021 6:15,Item,Lists/Courses
Tutorial,,Global Development & Peace,Global Development and Peace,,,Global Development and Peace,598,Graduate,TAKE GLDP-591 or GLDP-597 previously,Main Campus; Distance Learning-On Line,,GLDP-598,3195,2/26/2021 6:15,Item,Lists/Courses
Network Administration,Internetworking basis. Bridging and Switching Fundamentals. Routing basic. Network management fundamentals. Network architecture. Security. Troubleshooting. Pre-requisites: Computer Engineering 471 or Computer Engineering 473 and permission of instructor. 3 lecture hours; 3 semester hours,Computer Engineering,Computer Engineering,,,Computer Engineering,482,Graduate,TAKE CPEG-471 OR CPEG-473,,,CPEG-482,2187,2/26/2021 6:15,Item,Lists/Courses
Medical Terminology Seminar,This course introduces concepts and terms that are used within the health sciences and related fields. 1 semester hour,Health Science,Health Sciences,,,Health Sciences,201,Undergraduate,,Main Campus; Distance Learning-On Line,,HSCI-201,3196,2/26/2021 6:15,Item,Lists/Courses
Intl Pol Econ Electv,,Intl Pol Econ & Diplomacy,Intl Political Econ & Diplomac,,,Intl Political Econ & Diplomac,ELECTV,Undergraduate,,,Pseaudo; Liberal Arts Electvie,IPED-ELECTV,4205,2/26/2021 6:15,Item,Lists/Courses
Music Theory I,"A thorough exploration of music fundamentals: principles of notation, clefs, time signatures, musical terms, rhythmic concepts, scales, keys, and seventh chords. Application of these fundamentals is emphasized through study of musical literature. 3 semester hours ",Music,Music,,,Music,109,Undergraduate,,Main Campus; Riverbend,,MUSC-109,1179,2/26/2021 6:15,Item,Lists/Courses
Mass Communications,,Mass Communications,Mass Communication,,,Mass Communication,ELECTV,Undergraduate,,,Pseaudo,MCOM-ELECTV,4206,2/26/2021 6:15,Item,Lists/Courses
Keyboard Skills,"Keyboard skills are developed which include playing harmonic progressions in any key, cadences, and diatonic and chromatic sequences. Sight-reading diatonic melodies and simple figured bass are also required. ",Music,Music,,,Music,156,Undergraduate,,,,MUSC-156,1180,2/26/2021 6:15,Item,Lists/Courses
Minor Surgery,,Practice Organ Systems,Practice & Organ Systems,,,Practice & Organ Systems,724,Naturopathic Medicine,,,,NNP-724,748,2/26/2021 6:15,Item,Lists/Courses
Design Management III,"Students will continue to further their understanding of design management. Through relevant case studies, text readings, and lectures, students will develop a plan for the application of design management principles within their organization. The final project for this class includes an action plan for an organization where design management principles will make a meaningful impact on their triple bottom line. 3 semester credits",Design Management,Design Management,,,Design Management,510,Graduate,,Main Campus,,DSNMG-510,3198,2/26/2021 6:15,Item,Lists/Courses
Dental Hyg Electv,,Dental Hygiene,Dental Hygiene,,,Dental Hygiene,ELECTV,Undergraduate,,,Pseaudo,DHYG-ELECTV,4207,2/26/2021 6:15,Item,Lists/Courses
Cpeg UG Electv,,Computer Engineering,Computer Engineering,,,Computer Engineering,ELECTV,Undergraduate,,,Pseaudo,CPEG-ELECTV,4208,2/26/2021 6:15,Item,Lists/Courses
Vitamin & Minerals,"Basic and clinical aspects of nutrient homeostasis concentrating on vitamin and mineral metabolism at the cellular and tissue level. Lectures will include specific functions, requirements, sources, assay methods, effects of deficiencies and excesses of each vitamin and mineral. Prerequisite: Nutrition 560B. 4 semester hours",Nutrition,Human Nutrition,,,Human Nutrition,560C,Graduate,#Take NUTR-560A NUTR-560B NUTR-560E NUTR-560M;,Main Campus; Distance Learning-On Line,,NUTR-560C,749,2/26/2021 6:15,Item,Lists/Courses
