Title,Colleague Section ID ,Section Name,Course ID,Section Number,Last Updated,Description,Location ,Term,Dates,Meeting Info,Week Days,Buildings,Classrooms,Instruction Methods,Course Types,Subject ,Departments,Academic Level ,Synonym,Faculty,Capacity,Course Number,Maximum Credits,Minimum Credits,Prerequisites,Credits,CEUs,Comments,Books,Books List Price,Books List Price Total,Item Type,Path
^Anat & Physiology (Nutrition Spring 2017 NUTR-121-DLA),64176,NUTR-121-DLA,886,DLA,4/24/2017 6:15,"Available Summer and Fall terms This course provides a detailed study of the structure and function of cells, tissues, and organ systems, control systems of the human body, homeostatic mechanisms, and the interrelations between the systems are studied. (6 credits)  ",Distance Learning-On Line,Nutrition Spring 2017,1/9/2017 12:00:00 AM - 4/21/2017 12:00:00 AM,,,On-Line,ONLN,Online,,Nutrition,Human Nutrition,Undergraduate,6363,S. Lindner,50,121,,6,,6,,,,, $-   ,Item,Lists/Sections
^Anat & Physiology (Nutrition Summer 2017 NUTR-121-DLB),67326,NUTR-121-DLB,886,DLB,10/6/2017 6:15,"Available Summer and Fall terms This course provides a detailed study of the structure and function of cells, tissues, and organ systems, control systems of the human body, homeostatic mechanisms, and the interrelations between the systems are studied. (6 credits)  ",Distance Learning-On Line,Nutrition Summer 2017,4/24/2017 12:00:00 AM - 8/4/2017 12:00:00 AM,,,On-Line,ONLN,Online,,Nutrition,Human Nutrition,Undergraduate,9399,S. Lindner,50,121,,6,,6,,,,, $-   ,Item,Lists/Sections
^Anat&Physio for Clinical Nut (Spring 2021 Nutrition NUTR-560N-DL),85372,NUTR-560N-DL,4578,DL,2/26/2021 6:15,,Distance Learning-On Line,Spring 2021 Nutrition,1/4/2021 12:00:00 AM - 4/11/2021 12:00:00 AM,,,On-Line,ONLN,Online,,Nutrition,Human Nutrition,Graduate,5041,A. Criss,25,560N,,4,,4,,,,, $-   ,Item,Lists/Sections
^Appl Ethics for HUSV Prof (Spring 2021 HUSV-320-DL),86202,HUSV-320-DL,2574,DL,2/26/2021 6:15,"Moral Development and Applied Ethics for Human Services will include an introduction to a basic understanding of moral development and ethical principles and apply those principles throughout the course to topics and case studies from the class text and from examples provided by students. Students will engage in reading, discussion, writing and individual presentations during the course.  A service-learning option is available to count as credit for one essay or extra credit on the final exam.  Students will recognize basic ethical terminology, apply ethical models to relevant cases and draft their own ethical decision-making model as a product of this course.",Distance Learning-On Line,Spring 2021,1/25/2021 12:00:00 AM - 5/7/2021 12:00:00 AM,,,,,Online,Liberal Arts Electvie,Human Services,Human Services,Undergraduate,5871,E. Cela,25,320,,3,"TAKE HUSV-201 or HUSV-203 and HUSV-205; Minimum grade C, TR",3,,,,, $-   ,Item,Lists/Sections
^Assmnt in Nutrition (Nutrition Spring 2017 NUTR-560E-DLA),64169,NUTR-560E-DLA,489,DLA,4/21/2017 6:15,"Clinical and laboratory analytical procedures for evaluation of nutrient status, including blood and other tissue analysis, dietary records and questionnaires, case history, physical examination, anthropometrical methods, etc. 3 semester hours",Distance Learning-On Line,Nutrition Spring 2017,1/16/2017 12:00:00 AM - 4/28/2017 12:00:00 AM,,,On-Line,ONLN,Online,,Nutrition,Human Nutrition,Graduate,6356,L. Fleming,20,560E,,3,    TAKE NUTR-560A and NUTR-560B;,3,,,,, $-   ,Item,Lists/Sections
^Assmnt in Nutrition (Spring 2021 Nutrition NUTR-560E-DL),85358,NUTR-560E-DL,489,DL,2/26/2021 6:15,"Clinical and laboratory analytical procedures for evaluation of nutrient status, including blood and other tissue analysis, dietary records and questionnaires, case history, physical examination, anthropometrical methods, etc. 3 semester hours",Distance Learning-On Line,Spring 2021 Nutrition,1/4/2021 12:00:00 AM - 4/11/2021 12:00:00 AM,,,On-Line,ONLN,Online,,Nutrition,Human Nutrition,Graduate,5027,S. Woomer,25,560E,,3,TAKE NUTR-560A and NUTR-560M;,3,,,,, $-   ,Item,Lists/Sections
^Assmnt in Nutrition (Summer 2021 Nutrition NUTR-560E-DLA),88345,NUTR-560E-DLA,489,DLA,2/26/2021 6:15,"Clinical and laboratory analytical procedures for evaluation of nutrient status, including blood and other tissue analysis, dietary records and questionnaires, case history, physical examination, anthropometrical methods, etc. 3 semester hours",Distance Learning-On Line,Summer 2021 Nutrition,5/3/2021 12:00:00 AM - 8/13/2021 12:00:00 AM,,,On-Line,ONLN,Online,,Nutrition,Human Nutrition,Graduate,7953,,25,560E,,3,TAKE NUTR-560A and NUTR-560M;,3,,,,, $-   ,Item,Lists/Sections
^Basic Nutrition (Nutrition Fall 2016 NUTR-123-DLA),60146,NUTR-123-DLA,799,DLA,9/8/2016 6:15,"Available Summer and Fall terms A study of the basic principles of nutrition and the influence of nutrients and food choices on health promotion and disease prevention and a detailed knowledge of the metabolsim of proteins, carbohydrates, fats and macro and micro nutrients. (2 credits) ",Distance Learning-On Line,Nutrition Fall 2016,8/29/2016 12:00:00 AM - 11/4/2016 12:00:00 AM,,,On-Line,ONLN,Online,,Nutrition,Human Nutrition,Undergraduate,2475,L. Fleming,20,123,,2,,2,,,,, $-   ,Item,Lists/Sections
^Basic Nutrition (Nutrition Summer 2017 NUTR-123-DLB),67327,NUTR-123-DLB,799,DLB,10/6/2017 6:15,"Available Summer and Fall terms A study of the basic principles of nutrition and the influence of nutrients and food choices on health promotion and disease prevention and a detailed knowledge of the metabolsim of proteins, carbohydrates, fats and macro and micro nutrients. (2 credits) ",Distance Learning-On Line,Nutrition Summer 2017,4/24/2017 12:00:00 AM - 6/9/2017 12:00:00 AM,,,On-Line,ONLN,Online,,Nutrition,Human Nutrition,Undergraduate,9400,L. Fleming,50,123,,2,,2,,,,, $-   ,Item,Lists/Sections
^Big Data Systems & Analysis (Spring 2017 CPSC-651-DL),64342,CPSC-651-DL,4027,DL,1/20/2017 6:15,"Program or Course Description: This course will introduce the state-of-arts computing platforms with the focus on how to utilize them in processing (managing and analyzing) massive datasets. Specifically, we will discuss the MapReduce (Hadoop) framework, which provides the most accessible and practical means of computing in the Cloud. We will also introduce the emerging distributed database and services, such as HBase, Pig/Hive for large scale data analysis. Finally, we will utilize several key data processing tasks, including simple statistics, data aggregation, join processing, frequent pattern mining, data clustering, information retrieval, and other machine learning  analytics as the case study for large scale data processing.",Distance Learning-On Line,Spring 2017,1/17/2017 12:00:00 AM - 5/5/2017 12:00:00 AM,,,On-Line,ONLN,Online,,Computer Science,Computer Science,Graduate,6522,J. Lee,15,651,,3,,3,,,,, $-   ,Item,Lists/Sections
^Big Data Systems & Analysis (Spring 2017 CPSC-651-DL4),64754,CPSC-651-DL4,4027,DL4,1/26/2017 6:15,"Program or Course Description: This course will introduce the state-of-arts computing platforms with the focus on how to utilize them in processing (managing and analyzing) massive datasets. Specifically, we will discuss the MapReduce (Hadoop) framework, which provides the most accessible and practical means of computing in the Cloud. We will also introduce the emerging distributed database and services, such as HBase, Pig/Hive for large scale data analysis. Finally, we will utilize several key data processing tasks, including simple statistics, data aggregation, join processing, frequent pattern mining, data clustering, information retrieval, and other machine learning  analytics as the case study for large scale data processing.",Distance Learning-On Line,Spring 2017,1/17/2017 12:00:00 AM - 5/5/2017 12:00:00 AM,,,On-Line,ONLN,Online,,Computer Science,Computer Science,Graduate,6907,J. Lee,15,651,,3,,3,,,,, $-   ,Item,Lists/Sections
^Biochem of Nutrition (Nutrition Spring 2017 NUTR-560B-DLA),64167,NUTR-560B-DLA,744,DLA,4/21/2017 6:15,"A lecture course covering the static and dynamic aspects of the biochemistry of carbohydrates, lipids, amino acids, proteins, nucleic acids, cat ions, anions, enzyme kinetics, hormones and vitamins in the healthy individual. Integration and control mechanisms of the various metabolic pathways are particularly emphasized. Prerequisite: Introduction to Biochemistry. 4 semester hours",Distance Learning-On Line,Nutrition Spring 2017,1/16/2017 12:00:00 AM - 5/12/2017 12:00:00 AM,,,On-Line,ONLN,Online,,Nutrition,Human Nutrition,Graduate,6354,K. Swithers,20,560B,,4,,4,,,,, $-   ,Item,Lists/Sections
^Biochem of Nutrition (Nutrition Spring 2017 NUTR-560B-DLB),64168,NUTR-560B-DLB,744,DLB,4/21/2017 6:15,"A lecture course covering the static and dynamic aspects of the biochemistry of carbohydrates, lipids, amino acids, proteins, nucleic acids, cat ions, anions, enzyme kinetics, hormones and vitamins in the healthy individual. Integration and control mechanisms of the various metabolic pathways are particularly emphasized. Prerequisite: Introduction to Biochemistry. 4 semester hours",Distance Learning-On Line,Nutrition Spring 2017,1/16/2017 12:00:00 AM - 5/12/2017 12:00:00 AM,,,On-Line,ONLN,Online,,Nutrition,Human Nutrition,Graduate,6355,K. Swithers,20,560B,,4,,4,,,,, $-   ,Item,Lists/Sections
^Biochem of Nutrition (Spring 2021 Nutrition NUTR-560B-DL),85352,NUTR-560B-DL,744,DL,2/26/2021 6:15,"A lecture course covering the static and dynamic aspects of the biochemistry of carbohydrates, lipids, amino acids, proteins, nucleic acids, cat ions, anions, enzyme kinetics, hormones and vitamins in the healthy individual. Integration and control mechanisms of the various metabolic pathways are particularly emphasized. Prerequisite: Introduction to Biochemistry. 4 semester hours",Distance Learning-On Line,Spring 2021 Nutrition,1/4/2021 12:00:00 AM - 4/11/2021 12:00:00 AM,,,On-Line,ONLN,Online,,Nutrition,Human Nutrition,Graduate,5021,G. Clayton,20,560B,,4,Take NUTR-560A NUTR-560M,4,,,,, $-   ,Item,Lists/Sections
^Biochem of Nutrition (Summer 2021 Nutrition NUTR-560B-DLA),88341,NUTR-560B-DLA,744,DLA,2/26/2021 6:15,"A lecture course covering the static and dynamic aspects of the biochemistry of carbohydrates, lipids, amino acids, proteins, nucleic acids, cat ions, anions, enzyme kinetics, hormones and vitamins in the healthy individual. Integration and control mechanisms of the various metabolic pathways are particularly emphasized. Prerequisite: Introduction to Biochemistry. 4 semester hours",Distance Learning-On Line,Summer 2021 Nutrition,5/3/2021 12:00:00 AM - 8/8/2021 12:00:00 AM,,,On-Line,ONLN,Online,,Nutrition,Human Nutrition,Graduate,7949,,25,560B,,4,Take NUTR-560A NUTR-560M,4,,,,, $-   ,Item,Lists/Sections
^Biostatistics (Spring 2021 MATH-203HS-DL),86305,MATH-203HS-DL,4294,DL,2/26/2021 6:15,"Biostatistics provides an introduction to selected important topics in biostatistical concepts and reasoning.  This course represents an introduction to the field and provides a survey of data and data types.  Specific topics include tools for describing central tendency and variability in data; methods for performing inference on population means and proportions via sample data; statistical hypothesis testing and its application to group comparisons; issues of power and sample size in study designs; and random sample and other study types.  While there are some formulae and computational elements to the course, the emphasis is on interpretation and concepts.",Distance Learning-On Line,Spring 2021,1/25/2021 12:00:00 AM - 5/7/2021 12:00:00 AM,,,On-Line,ONLN,Online,Liberal Arts Electvie,Mathematics,Mathematics,Undergraduate,5974,F. McGrade,25,203HS,,1,,1,,,,, $-   ,Item,Lists/Sections
^Biostatistics Applications (Spring 2021 MATH-203B-DL),86304,MATH-203B-DL,2502,DL,2/26/2021 6:15,"A two hour lab to be taken concurrently with Math 203(Statistics) that will teach students how to design experimental robust experiments, analyze data, and interpret the results. Biomedical applications will be emphasized.",Distance Learning-On Line,Spring 2021,1/25/2021 12:00:00 AM - 5/7/2021 12:00:00 AM,,,,,Online,Liberal Arts Electvie,Mathematics,Mathematics,Undergraduate,5973,K. Engelmann,25,203B,,1,,1,,,,, $-   ,Item,Lists/Sections
^Botanical Medicine (Nutrition Fall 2016 NUTR-560P-DLA),60142,NUTR-560P-DLA,937,DLA,10/17/2016 6:15,"A study of the use of herbs in nutritional practice. Discussions on individual herbs will include botany, mechanism of action, pharmacological/toxicological properties, clinical application, product standardization, and recommended dosages. 3 semester hours",Distance Learning-On Line,Nutrition Fall 2016,11/14/2016 12:00:00 AM - 3/3/2017 12:00:00 AM,,,On-Line,ONLN,Online,,Nutrition,Human Nutrition,Graduate,2471,J. Gerber,20,560P,,3,"    TAKE NUTR 560A,B,C,D,E,F,G,H,I AND M",3,,,,, $-   ,Item,Lists/Sections
^Botanical Medicine (Nutrition Summer 2017 NUTR-560P-DLB),67656,NUTR-560P-DLB,937,DLB,10/6/2017 6:15,"A study of the use of herbs in nutritional practice. Discussions on individual herbs will include botany, mechanism of action, pharmacological/toxicological properties, clinical application, product standardization, and recommended dosages. 3 semester hours",Distance Learning-On Line,Nutrition Summer 2017,7/10/2017 12:00:00 AM - 10/20/2017 12:00:00 AM,,,On-Line,ONLN,Online,,Nutrition,Human Nutrition,Graduate,9681,J. Gerber,25,560P,,3,"    TAKE NUTR 560A,B,C,D,E,F,G,H,I AND M",3,,,,, $-   ,Item,Lists/Sections
^Bus & Prof Communication (Spring 2021 MCOM-284-IDDL2),86325,MCOM-284-IDDL2,398,IDDL2,2/26/2021 6:15,"Understanding and development of communications skills necessary for individuals to function effectively in business and corporate roles. Special consideration given to the verbal and nonverbal elements of the work situation: barriers to communications, listening skills, interviewing, instructional skills, forms of negotiation, technical reports, and principles of group behavior. Students? skills are assessed relative to the levels of communication required in various career areas and cultural milieus. 3 semester hours ",Distance Learning-On Line,Spring 2021,3/22/2021 12:00:00 AM - 5/9/2021 12:00:00 AM,,,On-Line,ONLN,Online,IDEAL Course Sections,Mass Communications,Mass Communication,Undergraduate,5994,F. Trelease,25,284,,3,,3,,,,, $-   ,Item,Lists/Sections
^Business Law I (Summer 2017 BLAW-251-IDDL1),65173,BLAW-251-IDDL1,401,IDDL1,9/14/2017 8:50,"Court systems, sources of law in the United States, the constitutional basis of the legal system, government power to regulate business, the types and powers of administrative agencies, civil dispute resolution and alternatives to civil litigation; the law of contracts, fairness and good faith in interpretation of contracts, and the United Nations Convention on Contracts for the International Sale of Goods; problems in Agency and Employment, the ethical implications of business decisions, the broad functions of criminal and tort law, the Foreign Corrupt Practices Act, and the constitutional limitations on criminal procedure. 3 semester hours",Distance Learning-On Line,Summer 2017,5/8/2017 12:00:00 AM - 7/1/2017 12:00:00 AM,,,On-Line,ONLN,Online,IDEAL Course Sections,Business Law,Business Law,Undergraduate,7302,D. Bradanini,18,251,,3,Sophomore Status,3,,,,, $-   ,Item,Lists/Sections
